Name,County,Address,Phone,Email,Hours,Officer,Organization_Type,geo_tag
Ogemaw County Department of Veterans Affairs,Ogemaw,"496 E. Houghton Ave., West Branch, MI 48661, &nbsp;",989-345-5170,nicholsj@ocmi.us,"Monday - Friday, 8:30 a.m. - 4:30 p.m.","Jared Gale, Accredited",COUNTY VETERANS SERVICE OFFICERS,mi_26129
St. Clair County Department of Veterans Affairs,St. Clair,"200 Grand River, Suite 104, Port Huron, MI 48060",810-989-6945,rmccann@stclaircounty.org,"Monday - Friday, 8:00 a.m. - 4:30 p.m.","Heidi Slossar, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26147
Oceana County Department of Veterans Affairs,Oceana,"844 S. Griswold Street, Suite 100, Hart, MI 49420",231-873-6834,jslinkard@oceana.mi.us,"Monday - Friday, 8:00 a.m. - 3:00 p.m.","Samuel Nanasi, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26127
Wexford County Department of Veterans Affairs,Wexford,"401 North Lake St., Cadillac, MI 49601",231-775-6654,veterans@wexfordcounty.org,"Monday - Thursday, 9:00 a.m. - 5:00 p.m.","Phillip Babcock, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26165
Missaukee County Veterans Affairs,Missaukee,"113 E. Prospect Street, Lake City, MI 49651",231-839-4200 ext. 507,veteranaffairs@missaukee.org,"Monday - Thursday, 9:00 a.m. - 2:00 p.m.  Closed on Friday","Jan Anderson, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26113
Iosco County Department of Veterans Affairs,Iosco,"671 E. M-55, Tawas City, MI 48763",989-362-6571,apoling@ioscocounty.org,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","Adriana Poling, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26069
Roscommon County Veterans Services,Roscommon,"500 Lake St., Roscommon, MI 48653",989-275-6047,veterans@roscommoncounty.net,"Monday - Friday, 8:30 a.m. - 4:30 p.m.","Alisha Pastell, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26143
Mason County Department of Veterans Affairs,Mason,"920 E. Tinkham Ave.&nbsp;, Ludington, MI 49431",231-583-2028,jcotten@masoncounty.net,"Monday - Friday, 10:00 a.m. - 2:00 p.m.","John Cotten, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26105
Mason County - American Legion Post 76,Mason,"318 N. James St.&nbsp;, Ludington, MI 49431",231-845-7094,pbabcock@michiganlegion.org,"1st & 3rd Wednesday, 8:30 a.m. - 4:30 p.m.","Phillip Babcock, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26105
Crawford County Department of Veterans Affairs,Crawford,"501 Norway St., Suite 3, Grayling, MI 49738",989-344-3861,jjennette@crawfordco.org,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","David Seaford, Accredited",dave.seaford@davmichigan.com,mi_26039
Oscoda County Department of Veterans Affairs,Oscoda,"205 E. 11th Street, Mio, MI 48647",989-826-9500,veterans@oscodacountymi.com,"Monday - Thursday, 9:00 a.m. - 3:00 p.m.",,COUNTY VETERANS SERVICE OFFICER,mi_26135
Manistee County Department of Veterans Affairs,Manistee,"400 River Street, Manistee, MI 49660",231-299-1414,gscott@manisteecountymi.gov,"Monday - Friday, 9:00 a.m. - 4:00 p.m.","Phillip Babcock, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26101
Kalkaska County Department of Veterans Affairs,Kalkaska,"303 S. Coral Street, Kalkaska, MI 49646",231-258-3370,mpauch@kalkaskacounty.org,"Monday - Thursday, 8:00 a.m. - 1:00 p.m. (by appointment only)","Phillip Babcock, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26079
Alcona County Office of Veterans Affairs,Alcona,"222 S. 2nd Street, Lincoln, MI&nbsp;48742",989-724-9510,alvets@alcona-county.net,"Monday - Friday, 9:00 a.m. - 4:30 p.m.","Tony Atkinson, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26001
Grand Traverse County Department of Veterans Affairs,Grand Traverse,"2650 LaFranier Road, Traverse City, MI 49686-8972",231-995-6070,veterans@gtcountymi.gov,"Monday - Friday, 8:00 a.m. - 4:30 p.m.","Chris Dailey, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26055
Benzie County Department of Veterans Affairs,Benzie,"448 Court Place, Beulah, MI 49617",231-882-0034,kkorolenko@benzieco.gov,"Monday - Friday, 8:00 a.m. - 5:00 p.m.","Karen Korolenko, Accredited, Director",COUNTY VETERAN SERVICE OFFICER,mi_26019
Otsego County - Gaylord CBOC,Otsego,"2782 S. Otsego Ave., Gaylord, MI 49735",517-897-0855,rwiles@michiganlegion.org,"2nd and 3rd Thursday, 8:00 a.m. - 4:00 p.m.","Richard Wiles, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26137
Montmorency County Veteran Service Office,Montmorency,"12265 M-32, Atlanta, MI 49709",989-785-8043,vso@montcounty.org,"Monday - Thursday, 8:30 a.m. - 4:30 p.m.","Stephanie Fisher, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26119
Antrim County Department of Veterans Affairs,Antrim,", 203 E. Cayuga St., Bellaire, MI 49615",231-533-8499,corbinb@antrimcounty.gov,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","Carrie Perez, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26009
Otsego County Department of Veterans Affairs,Otsego,"225 W. Main St., Room 213, Gaylord, MI 49735",989-731-7575,mhopp@otsegocountymi.gov,"Monday - Friday, 8:00 a.m. - 3:30 p.m.","Richard Wiles, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26137
Leelanau County Office,Leelanau,"8527 E. Governmental Center, Suite 103, Suttons Bay, MI 49682",231-995-6070,veterans@grandtraverse.org,"Tuesdays, 9:00 a.m. - 4:00 p.m.",,Please note: Grand Traverse County services Leelanau County veterans.,mi_26089
Alpena County - Alpena CRTC,Alpena,"5884 A Street, Alpena, MI 49707",517-897-6954,peplinskia1@michigan.gov,"Monday, 8:00 a.m. &ndash; 4:30 p.m. (by appointment only)","Amber Peplinski, Accredited",MICHIGAN VETERANS AFFAIRS AGENCY - VETERAN SERVICE OFFICER,mi_26007
Alpena County Department of Veterans Affairs,Alpena,", 150 B N. State St., Alpena, MI 49707",989-354-9671,Perged@Alpenacounty.org,"Monday - Friday, 8:00 a.m. - 4:30 p.m.","Kevin Morgan, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26007
Alpena County - MyMichigan Medical Center,Alpena,"1501 W. Chisholm Street, Alpena, MI 49707",517-897-6954,peplinskia1@michigan.gov,"Tuesday - Thursday, 8:00 a.m. &ndash; 4:30 p.m. (by appointment only)","Amber Peplinski, Accredited",MICHIGAN VETERANS AFFAIRS AGENCY - VETERAN SERVICE OFFICER,mi_26007
Charlevoix County Department of Veterans Affairs,Charlevoix,"13513 Division Ave., Charlevoix, MI 49720",231-547-7220,veteransaffairs@charlevoixcounty.org,"Monday - Friday, 8:00 p.m. - 4:00 p.m.","Phil Babcock, Accredited",AMERICAN LEGION - VETERANS SERVICE OFFICER,mi_26029
Emmet County - American Legion Post 194,Emmet,"455 Bay St, Petoskey, MI 49770",231-590-6200,pbabcock@michiganlegion.org,"Tuesday, 8:00 a.m. - 4:00 p.m.","Phillip Babcock, Accredited",AMERICAN LEGION - VETERANS SERVICE OFFICER,mi_26047
Emmet County Department of Veterans Affairs,Emmet,"3434 M-119, Suite E, Harbor Springs, MI 49740",231-348-1780,jurban@emmetcounty.org,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","Jeff Urban, Accredited, Director",COUNTY VETERAN SERVICE OFFICERS,mi_26047
Presque Isle County Department of Veterans Affairs,Presque Isle,"151 E. Huron Avenue, Rogers City, MI 49779",989-734-0302,veterans@picounty.org,"Monday - Wednesday, 8:00 a.m. - 3:00 p.m.","Stephanie Fisher, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26141
Cheboygan County Department of Veterans Services,Cheboygan,"870 S. Main St., Room 122, Cheboygan, MI 49721",231-627-8833,veterans@cheboygancounty.net,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","Brian Crittenden, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26031
Cheboygan County - Great Lakes Lighthouse Keepers Association,Cheboygan,"707 N Huron Ave., Mackinaw City, MI 49701",989-225-0221,sfisher@michiganlegion.org,"Friday, 9:00 a.m. &ndash; 5:00 p.m.","Stephanie Fisher, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26031
Mackinac County Department of Veterans Affairs,Mackinac,"Room 105, 100 S. Marley, St. Ignace, MI 49781",906-643-9411,mredmondvso@gmail.com,"Monday - Friday,  9:00 a.m. - 4:00 p.m.","Richard Wiles, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26097
Mackinac County - VFW Post 5114,Mackinac,"1110 N. State St., St. Ignace, MI 49781",517-897-0855,rwiles@michiganlegion.org,"2nd Tuesday, 8:00 a.m. - 4:00 p.m.","Richard Wiles, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26097
Menominee County Department of Veterans Affairs,Menominee,"1002 9th Street, Menominee, MI 49858",800-575-2876,dknernschield@menomineecountymi.gov,"Monday - Friday, 8:00 a.m. - 4:30 p.m.","Debbie Knernschield, Accredited",COUNTY VETERANS SERVICE OFFICER AND VETERANS TRUST FUND AGENT,mi_26109
Schoolcraft County Department of Veterans Affairs,Schoolcraft,"300 Walnut St., Room 206B, Manistique, MI 49854",906-341-3669,veterans@schoolcraftcounty.us,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","Stacy Thill, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICERS,mi_26153
Delta County – Purple Heart Building,Delta,"1202 Sheridan Rd., Escanaba, MI 49829",906-202-0533,Matthew.Witte@va.gov,"Monday, Tuesday, Wednesday, and Friday, 8:30 a.m. - 5:00 p.m.","Matthew Witte, Accredited",DISABLED AMERICAN VETERANS - VETERAN SERVICE OFFICER,mi_26041
Delta County Department of Veterans Affairs,Delta,"2840 College Ave., 2840A, Escanaba, MI 49829",906-786-7228,ddziewior@deltacountymi.org,"Monday - Friday, 9:00 a.m. - 4:00 p.m.","Stacy Thill, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26041
Delta County – American Legion Post 301,Delta,"10584 N. Main Street, Rapid River, MI 49878",906-286-3776,sgrady@michiganlegion.org,"Wednesday, 8:00 a.m. - 2:00 p.m.","Shay Grady, Accredited",AMERICAN LEGION &ndash; VETERANS SERVICE OFFICER,mi_26041
Luce County Veterans Services Office,Luce,"407 W. Harrie St., Newberry, MI 49868",906-293-4890,rminard@lucecountymi.gov,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","Rick Minard, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26095
Chippewa County - Sault Ste. Marie CBOC,Chippewa,"3440 I-75 Business Spur, Sault Ste. Marie, MI 49783",517-897-0855,rwiles@michiganlegion.org,"Monday, 8:00 a.m. - 4:00 p.m.","Richard Wiles, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26033
Chippewa County Office of Veterans Affairs,Chippewa,"319 Court St., 3rd Floor, Sault Ste. Marie, MI 49783",906-635-6370,veteran@chippewacountymi.gov,"Monday - Friday, 8:00 a.m. - 4:00 p.m.","John Miller, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26033
Alger County Department of Veterans Affairs,Alger,", 101 Court St., Munising, MI 49862-1196",906-387-1635,algervets@algercounty.gov,"Monday - Wednesday, 8:00 a.m. - 4:00 p.m. and Thursday, 8:00 a.m. - 3:00 p.m.","Becky Burns, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26003
Dickinson County - Iron Mountain VA Medical Center,Dickinson,"325 East H Street, Iron Mountain, MI 49801","906-774-3300, ext. 3194",,"Monday - Friday, 7:00 a.m. - 3:30 p.m.","Andrew Smith, Accredited",,mi_26043
Dickinson County Veteran Service Office,Dickinson,"2301 Woodward Avenue, Kingsford, MI 49802",906-774-2820,dformolo@dickinsoncountymi.gov,"Monday - Friday, 8:00 a.m. - 4:30 p.m. CST","Lacey Ellison, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26043
Marquette County – American Legion Post 349,Marquette,"1835 County Highway EED, Little Lake, MI 49833",906-286-3776,sgrady@michiganlegion.org,"1st & 3rd Thursday, 8:00 a.m. &ndash; 2:30 p.m.","Shay Grady, Accredited",AMERICAN LEGION &ndash; VETERAN SERVICE OFFICER,mi_26103
Marquette County – VFW Post 5670,Marquette,"54 N. Mitchell Rd., Gwinn, MI 49841",906-286-3776,sgrady@michiganlegion.org,"2nd & 4th Thursday, 8:00 a.m. &ndash; 2:30 p.m.","Shay Grady, Accredited",AMERICAN LEGION &ndash; VETERAN SERVICE OFFICER,mi_26103
Marquette County Courthouse,Marquette,"234 W. Baraga Ave., Marquette, MI 49855",906-458-7113,MartinE19@michigan.gov,"Monday - Tuesday and Thursday, 7:30 a.m. - 4:00 p.m. (by appointment only)","Eric Martin, Accredited",MICHIGAN VETERANS AFFAIRS AGENCY - VETERAN SERVICE OFFICER,mi_26103
Marquette County – American Legion Post 44,Marquette,"700 W. Bluff Street, Marquette, MI 49855",906-286-3776,sgrady@michiganlegion.org,"Friday, 7:30 a.m. &ndash; 2:30 p.m.","Shay Grady, Accredited",AMERICAN LEGION &ndash; VETERAN SERVICE OFFICER,mi_26103
Marquette County Department of Veterans Affairs,Marquette,"215 West Hematite, Ishpeming, MI 49849",906-485-1781,ddost@mqtco.org,"Monday - Friday, 8:30 a.m. - 4:30 p.m.","Shay Grady, Accredited",AMERICAN LEGION - VETERAN SERVICE OFFICER,mi_26103
Marquette County – American Legion Post 144,Marquette,"3050 Co Rd 496, Ishpeming, MI 49849",906-286-3776,sgrady@michiganlegion.org,"Tuesday, 7:30 a.m. &ndash; 2:30 p.m.","Shay Grady, Accredited",AMERICAN LEGION &ndash; VETERAN SERVICE OFFICER,mi_26103
Iron County Veteran Service Office,Iron,"106 W. Genesee St., Suite 101, Iron River, MI 49935",906-265-3819,icvso@att.net,"Tuesday - Thursday, 9:00 a.m. - 4:00 p.m.","Gerald Williams, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26071
Baraga County Office of Veteran Affairs,Baraga,"2 S. Main St., L'Anse, MI 49946",906-524-5454,bcvso1@baragacounty.org,"Monday - Tuesday, 11:00 a.m. - 7:00 p.m., Wednesday - Thursday, 8:00 a.m. - 4:00 p.m.","Justin Koivu, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26013
Houghton County Department of Veterans Affairs,Houghton,"23810 Airpark Blvd., Suite 130, Calumet, MI, 49913",906-482-0102,VSO@houghtoncounty.gov,"Monday - Thursday, 9:00 a.m. - 3:00 p.m.","Catherine Anthony, Accredited",COUNTY VETERAN SERVICE OFFICERS,mi_26061
Ontonagon County Veteran Services,Ontonagon,"725 Greenland Road, Ontonagon, MI 49953",906-884-6204,vets@ontonagoncounty.org,"Tuesday, 9:00 a.m. - 3:00 p.m.","Floyd Rowley, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26131
Keweenaw County Department of Veterans Affairs,Keweenaw,"388 Bumbletown Road, Allouez, MI 49805",906-934-2354,vso@keweenawcountymi.gov,"Tuesday - Wednesday, 8:00 a.m. - 4:00 p.m. & Thursday, 8:00 a.m. - 12:00 p.m. (by appointment only)","Josh Rheault, Accredited",COUNTY VETERAN SERVICE OFFICER,mi_26083
Gogebic County Office of Veterans Services,Gogebic,"200 N. Moore St., Bessemer, MI 49911",906-667-1110,veterans@gogebic.gov,"Monday - Friday, 8:30 a.m. - 4:00 p.m.","Guadalupe Martinez, Accredited",DAV TRANSPORTATION AND OUTREACH COORDINATOR,mi_26053
Muskegon County - American Legion - Telework,Muskegon,,517-582-1678,dav.vbadet@va.gov,"Friday, 9:00 a.m. - 2:00 p.m.","Courtney Mills, Accredited",Muskegon County - American Legion - Telework,mi_26121
Macomb County - Vietnam Veterans of America - Telework,Macomb,,734-800-9399,rlegault.vso@outlook.com,,"Richard Legault, Accredited",Macomb County - Vietnam Veterans of America - Telework,mi_26099
Lapeer County - Veterans of Foreign Wars - Telework,Lapeer,,313-529-0041,amanda.klein@va.gov,,"Amanda Klein, Accredited",,mi_26087
St. Clair County - American Legion - Telework,St. Clair,,"833-648-3826, Option 1",lisa.misenko@va.gov,,"Lisa Misenko, Accredited",St. Clair County - American Legion - Telework,mi_26147
Lenawee County - American Legion - Telework,Lenawee,,"833-648-3826, Option 1",lisa.misenko@va.gov,,"Lisa Misenko, Accredited",Lenawee County - American Legion - Telework,mi_26091
Ingham County - Veterans of Foreign Wars - Telework,Ingham,,313-645-0106,john.howe4@va.gov,,"Glenn Whitt, Accredited",,mi_26065
Grand Traverse County - American Legion - Telework,Grand Traverse,,989-225-0221,sfisher@michiganlegion.org,,"Stacy Thill, Accredited",Grand Traverse County - American Legion - Telework,mi_26055
Calhoun County - Veterans of Foreign Wars - Telework,Calhoun,,313-712-0406,glenn.whitt@va.gov,,"Glenn Whitt, Accredited",,mi_26025
Kent County - American Legion - Telework,Kent,,616-268-8073,pbreas@michiganlegion.org,"1st Friday, 8:00 a.m. - 4:00 p.m.","Patty Breas, Accredited",Kent County - American Legion - Telework,mi_26081
Kent County - Disabled American Veterans- Telework,Kent,,586-817-6133,alexandria.downing@va.gov,"Wednesday & Thursday, 7:30 a.m. - 9:30 a.m.","Amber Henderson, Accredited",,mi_26081
Washtenaw County - American Legion - Telework,Washtenaw,,906-202-4238,s.king@michiganlegion.org,,"Brian Brooks, Accredited",Washtenaw County - American Legion - Telework,mi_26161
Antrim County - American Legion - Telework,Antrim,,"833-648-3826, Option 1",lisa.misenko@va.gov,,"Lisa Misenko, Accredited",Antrim County - American Legion - Telework,mi_26009
Allegan County - American Legion - Telework,Allegan,,616-268-8073,pbreas@michiganlegion.org,,"Patty Breas, Accredited",Allegan County - American Legion - Telework,mi_26005
